location,book_table,name
BTM,No,4947
BTM,Yes,167
Banashankari,No,841
Banashankari,Yes,63
Banaswadi,No,655
Banaswadi,Yes,8
Bannerghatta Road,No,1531
Bannerghatta Road,Yes,99
Basavanagudi,No,668
Basavanagudi,Yes,16
Bellandur,No,1188
Bellandur,Yes,98
Brigade Road,No,1037
Brigade Road,Yes,178
Brookefield,No,584
Brookefield,Yes,74
Church Street,No,387
Church Street,Yes,181
Commercial Street,No,370
Cunningham Road,No,315
Cunningham Road,Yes,175
Domlur,No,441
Domlur,Yes,55
Ejipura,No,438
Electronic City,No,1158
Electronic City,Yes,98
Frazer Town,No,714
Frazer Town,Yes,8
HSR,No,2304
HSR,Yes,217
Indiranagar,No,1627
Indiranagar,Yes,449
JP Nagar,No,1919
JP Nagar,Yes,315
Jayanagar,No,1647
Jayanagar,Yes,279
Kalyan Nagar,No,704
Kalyan Nagar,Yes,149
Kammanahalli,No,599
Kammanahalli,Yes,49
Koramangala 1st Block,No,1187
Koramangala 1st Block,Yes,50
Koramangala 4th Block,No,695
Koramangala 4th Block,Yes,322
Koramangala 5th Block,No,1810
Koramangala 5th Block,Yes,692
Koramangala 6th Block,No,1042
Koramangala 6th Block,Yes,112
Koramangala 7th Block,No,1017
Koramangala 7th Block,Yes,162
Koramangala 8th Block,No,303
Koramangala 8th Block,Yes,17
Lavelle Road,No,296
Lavelle Road,Yes,229
MG Road,No,571
MG Road,Yes,347
Malleshwaram,No,636
Malleshwaram,Yes,89
Marathahalli,No,1680
Marathahalli,Yes,164
New BEL Road,No,593
New BEL Road,Yes,56
Old Airport Road,No,387
Old Airport Road,Yes,59
Rajajinagar,No,550
Rajajinagar,Yes,41
Residency Road,No,524
Residency Road,Yes,149
Richmond Road,No,696
Richmond Road,Yes,116
Sarjapur Road,No,909
Sarjapur Road,Yes,154
Shanti Nagar,No,451
Shanti Nagar,Yes,57
Shivajinagar,No,475
Shivajinagar,Yes,23
St. Marks Road,No,228
St. Marks Road,Yes,124
Ulsoor,No,843
Ulsoor,Yes,177
Whitefield,No,1889
Whitefield,Yes,253
others,No,4349
others,Yes,354
